19:28:39 [ INFO] Opening target process: csgo.exe
19:28:39 [ERROR] Could not open process csgo.exe!
19:28:40 [ INFO] Opening target process: csgo.exe
19:28:40 [ERROR] Could not open process csgo.exe!
19:57:29 [ INFO] Opening target process: csgo.exe
19:57:29 [ INFO] Starting signature scanning: 57 items
19:57:29 [ INFO] Found signature: dwClientState => 0x588FEC
19:57:29 [ INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
19:57:29 [ INFO] Found signature: dwClientState_IsHLTV => 0x4D48
19:57:29 [ INFO] Found signature: dwClientState_Map => 0x28C
19:57:29 [ INFO] Found signature: dwClientState_MapDirectory => 0x188
19:57:29 [ INFO] Found signature: dwClientState_MaxPlayer => 0x388
19:57:29 [ INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
19:57:29 [ INFO] Found signature: dwClientState_State => 0x108
19:57:29 [ INFO] Found signature: dwClientState_ViewAngles => 0x4D90
19:57:29 [ INFO] Found signature: clientstate_delta_ticks => 0x174
19:57:29 [ INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
19:57:29 [ INFO] Found signature: clientstate_choked_commands => 0x4D30
19:57:29 [ INFO] Found signature: clientstate_net_channel => 0x9C
19:57:29 [ INFO] Found signature: dwEntityList => 0x4DA541C
19:57:29 [ INFO] Found signature: dwForceAttack => 0x31D59A4
19:57:29 [ INFO] Found signature: dwForceAttack2 => 0x31D59B0
19:57:29 [ INFO] Found signature: dwForceBackward => 0x31D595C
19:57:29 [ INFO] Found signature: dwForceForward => 0x31D5968
19:57:29 [ INFO] Found signature: dwForceJump => 0x524F20C
19:57:29 [ INFO] Found signature: dwForceLeft => 0x31D5980
19:57:29 [ INFO] Found signature: dwForceRight => 0x31D5974
19:57:29 [ INFO] Found signature: dwGameDir => 0x627780
19:57:29 [ INFO] Found signature: dwGameRulesProxy => 0x52C24FC
19:57:29 [ INFO] Found signature: dwGetAllClasses => 0xDB401C
19:57:29 [ INFO] Found signature: dwGlobalVars => 0x588CF0
19:57:29 [ INFO] Found signature: dwGlowObjectManager => 0x52ED8B0
19:57:29 [ INFO] Found signature: dwInput => 0x51F69E0
19:57:29 [ INFO] Found signature: dwInterfaceLinkList => 0x947404
19:57:29 [ INFO] Found signature: dwLocalPlayer => 0xD8C2CC
19:57:29 [ INFO] Found signature: dwMouseEnable => 0xD91E18
19:57:29 [ INFO] Found signature: dwMouseEnablePtr => 0xD91DE8
19:57:29 [ INFO] Found signature: dwPlayerResource => 0x31D3CD0
19:57:29 [ INFO] Found signature: dwRadarBase => 0x51DA194
19:57:29 [ INFO] Found signature: dwSensitivity => 0xD91CB4
19:57:29 [ INFO] Found signature: dwSensitivityPtr => 0xD91C88
19:57:29 [ INFO] Found signature: dwSetClanTag => 0x8A1B0
19:57:29 [ INFO] Found signature: dwViewMatrix => 0x4D96D34
19:57:29 [ INFO] Found signature: dwWeaponTable => 0x51F74A0
19:57:29 [ INFO] Found signature: dwWeaponTableIndex => 0x325C
19:57:29 [ INFO] Found signature: dwYawPtr => 0xD91A78
19:57:29 [ INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD96D18
19:57:29 [ INFO] Found signature: dwbSendPackets => 0xD779A
19:57:30 [ INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
19:57:30 [ INFO] Found signature: m_pStudioHdr => 0x294C
19:57:30 [ INFO] Found signature: m_yawClassPtr => 0xD91A78
19:57:30 [ INFO] Found signature: m_pitchClassPtr => 0x51DA430
19:57:30 [ INFO] Found signature: interface_engine_cvar => 0x3E9EC
19:57:30 [ INFO] Found signature: convar_name_hash_table => 0x2F0F8
19:57:30 [ INFO] Found signature: m_bDormant => 0xED
19:57:30 [ INFO] Found signature: model_ambient_min => 0x58C064
19:57:30 [ INFO] Found signature: set_abs_angles => 0x1E2350
19:57:30 [ INFO] Found signature: set_abs_origin => 0x1E2190
19:57:30 [ INFO] Found signature: is_c4_owner => 0x3BDDD0
19:57:30 [ INFO] Found signature: force_update_spectator_glow => 0x3B118A
19:57:30 [ INFO] Found signature: anim_overlays => 0x2980
19:57:30 [ INFO] Found signature: m_flSpawnTime => 0xA370
19:57:30 [ INFO] Found signature: find_hud_element => 0x2EC40F60
19:57:30 [ INFO] Finished signature scanning: 57/57 items successful
19:57:30 [ INFO] Starting netvar scanning: 92 items
19:57:30 [ INFO] Found netvar: m_ArmorValue => 0xB37C
19:57:30 [ INFO] Found netvar: m_Collision => 0x320
19:57:30 [ INFO] Found netvar: m_CollisionGroup => 0x474
19:57:30 [ INFO] Found netvar: m_Local => 0x2FBC
19:57:30 [ INFO] Found netvar: m_MoveType => 0x25B
19:57:30 [ INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
19:57:30 [ INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
19:57:30 [ INFO] Found netvar: m_aimPunchAngle => 0x302C
19:57:30 [ INFO] Found netvar: m_aimPunchAngleVel => 0x3038
19:57:30 [ INFO] Found netvar: m_bGunGameImmunity => 0x3944
19:57:30 [ INFO] Found netvar: m_bHasDefuser => 0xB38C
19:57:30 [ INFO] Found netvar: m_bHasHelmet => 0xB370
19:57:30 [ INFO] Found netvar: m_bInReload => 0x3238
19:57:30 [ INFO] Found netvar: m_bIsDefusing => 0x3930
19:57:30 [ INFO] Found netvar: m_bIsScoped => 0x3928
19:57:30 [ INFO] Found netvar: m_bSpotted => 0x93D
19:57:30 [ INFO] Found netvar: m_bSpottedByMask => 0x980
19:57:30 [ INFO] Found netvar: m_dwBoneMatrix => 0x268C
19:57:30 [ INFO] Found netvar: m_fAccuracyPenalty => 0x3330
19:57:30 [ INFO] Found netvar: m_fFlags => 0x104
19:57:30 [ INFO] Found netvar: m_hViewModel => 0x32F8
19:57:30 [ INFO] Found netvar: m_flFallbackWear => 0x31D0
19:57:30 [ INFO] Found netvar: m_flFlashDuration => 0xA420
19:57:30 [ INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
19:57:30 [ INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
19:57:30 [ INFO] Found netvar: m_hActiveWeapon => 0x2EF8
19:57:30 [ INFO] Found netvar: m_hMyWeapons => 0x2EF8
19:57:30 [ INFO] Found netvar: m_hObserverTarget => 0x338C
19:57:30 [ INFO] Found netvar: m_hOwner => 0x29CC
19:57:30 [ INFO] Found netvar: m_hOwnerEntity => 0x14C
19:57:30 [ INFO] Found netvar: m_iAccountID => 0x2FC8
19:57:30 [ INFO] Found netvar: m_iClip1 => 0x3264
19:57:30 [ INFO] Found netvar: m_zoomLevel => 0x33D0
19:57:30 [ INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
19:57:30 [ INFO] Found netvar: m_iCompetitiveWins => 0x1B88
19:57:30 [ INFO] Found netvar: m_iCrosshairId => 0xB38C
19:57:30 [ INFO] Found netvar: m_iEntityQuality => 0x2FAC
19:57:30 [ INFO] Found netvar: m_iFOVStart => 0x31E8
19:57:30 [ INFO] Found netvar: m_iGlowIndex => 0xA420
19:57:30 [ INFO] Found netvar: m_iHealth => 0x100
19:57:30 [ INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
19:57:30 [ INFO] Found netvar: m_iItemIDHigh => 0x2FC0
19:57:30 [ INFO] Found netvar: m_iObserverMode => 0x3378
19:57:30 [ INFO] Found netvar: m_iShotsFired => 0xA390
19:57:30 [ INFO] Found netvar: m_iState => 0x3258
19:57:30 [ INFO] Found netvar: m_iTeamNum => 0xF4
19:57:30 [ INFO] Found netvar: m_lifeState => 0x25F
19:57:30 [ INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
19:57:30 [ INFO] Found netvar: m_nFallbackSeed => 0x31CC
19:57:30 [ INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
19:57:30 [ INFO] Found netvar: m_iDefaultFOV => 0x332C
19:57:30 [ INFO] Found netvar: m_nForceBone => 0x268C
19:57:30 [ INFO] Found netvar: m_nTickBase => 0x3430
19:57:30 [ INFO] Found netvar: m_rgflCoordinateFrame => 0x474
19:57:30 [ INFO] Found netvar: m_szCustomName => 0x303C
